phone_code;name;country_code;created_at;updated_at;
65;Singapore;;04/01/2024 00:59;04/01/2024 00:59;
421;Slovak Republic;;04/01/2024 00:59;04/01/2024 00:59;
386;Slovenia;;04/01/2024 00:59;04/01/2024 00:59;
677;Solomon Islands;;04/01/2024 00:59;04/01/2024 00:59;
252;Somali Democratic Republic;;04/01/2024 00:59;04/01/2024 00:59;
27;South Africa;;04/01/2024 00:59;04/01/2024 00:59;
34;Spain;;04/01/2024 00:59;04/01/2024 00:59;
94;Sri Lanka;;04/01/2024 00:59;04/01/2024 00:59;
249;Sudan;;04/01/2024 00:59;04/01/2024 00:59;
597;Suriname;;04/01/2024 00:59;04/01/2024 00:59;
268;Swaziland;;04/01/2024 00:59;04/01/2024 00:59;
46;Sweden;;04/01/2024 00:59;04/01/2024 00:59;
41;Switzerland;;04/01/2024 00:59;04/01/2024 00:59;
963;Syria;;04/01/2024 00:59;04/01/2024 00:59;
886;Taiwan;;04/01/2024 00:59;04/01/2024 00:59;
992;Tajikistan;;04/01/2024 00:59;04/01/2024 00:59;
255;Tanzania;;04/01/2024 00:59;04/01/2024 00:59;
66;Thailand;;04/01/2024 00:59;04/01/2024 00:59;
88216;Thuraya (Mobile Satellite service);;04/01/2024 00:59;04/01/2024 00:59;
670;Timor Leste;;04/01/2024 00:59;04/01/2024 00:59;
228;Togolese Republic;;04/01/2024 00:59;04/01/2024 00:59;
690;Tokelau;;04/01/2024 00:59;04/01/2024 00:59;
676;Tonga Islands;;04/01/2024 00:59;04/01/2024 00:59;
+1-868*;Trinidad & Tobago;;04/01/2024 00:59;04/01/2024 00:59;
216;Tunisia;;04/01/2024 00:59;04/01/2024 00:59;
90;Turkey;;04/01/2024 00:59;04/01/2024 00:59;
993;Turkmenistan;;04/01/2024 00:59;04/01/2024 00:59;
+1-649*;Turks and Caicos Island;;04/01/2024 00:59;04/01/2024 00:59;
688;Tuvalu;;04/01/2024 00:59;04/01/2024 00:59;
256;Uganda;;04/01/2024 00:59;04/01/2024 00:59;
380;Ukraine;;04/01/2024 00:59;04/01/2024 00:59;
971;United Arab Emirates;;04/01/2024 00:59;04/01/2024 00:59;
44;United Kingdom;;04/01/2024 00:59;04/01/2024 00:59;
1;United States of America;;04/01/2024 00:59;04/01/2024 00:59;
+1-340*;US Virgin Islands;;04/01/2024 00:59;04/01/2024 00:59;
878;Universal Personal Telecommunications (UPT);;04/01/2024 00:59;04/01/2024 00:59;
598;Uruguay;;04/01/2024 00:59;04/01/2024 00:59;
998;Uzbekistan;;04/01/2024 00:59;04/01/2024 00:59;
678;Vanuatu;;04/01/2024 00:59;04/01/2024 00:59;
39;379;;Vatican City;04/01/2024 00:59;04/01/2024 00:59
58;Venezuela;;04/01/2024 00:59;04/01/2024 00:59;
84;Vietnam;;04/01/2024 00:59;04/01/2024 00:59;
808;Wake Island;;04/01/2024 00:59;04/01/2024 00:59;
681;Wallis and Futuna Islands;;04/01/2024 00:59;04/01/2024 00:59;
967;Yemen;;04/01/2024 00:59;04/01/2024 00:59;
260;Zambia;;04/01/2024 00:59;04/01/2024 00:59;
255;Zanzibar;;04/01/2024 00:59;04/01/2024 00:59;
263;Zimbabwe;;04/01/2024 00:59;04/01/2024 00:59;
